"Wave","Organisation","Adjusted_R2","R2","N","Predictors_Used","Group"
3,"CChurches",0.00849706695480457,0.00898309780433664,12241,6,"OtherCountries"
3,"CArmedForces",0.0114806657523298,0.0119648780150031,12250,6,"OtherCountries"
3,"CPolice",0.0419739219350813,0.0424403794915519,12324,6,"OtherCountries"
3,"CParliament",0.0317118651653379,0.0321920477266247,12100,6,"OtherCountries"
3,"CTelevision",0.00961659099079282,0.0100997441295891,12300,6,"OtherCountries"
3,"CWomensMvt",0.00819787943571959,0.00872816037703,11223,6,"OtherCountries"
3,"CCourts",0.015325931291168,0.0158076700723366,12265,6,"OtherCountries"
3,"CEU",0.00679540123854983,0.00794450027298265,5187,6,"OtherCountries"
4,"CChurches",0.00211126591952082,0.00269250389685143,10302,6,"OtherCountries"
4,"CArmedForces",0.0144949061649178,0.0150741607263413,10209,6,"OtherCountries"
4,"CPolice",0.0169900373152805,0.0175803745964443,9992,6,"OtherCountries"
4,"CParliament",0.0359963940719965,0.0365892622183237,9757,6,"OtherCountries"
4,"CTelevision",0.0120896141812921,0.0126592885988715,10406,6,"OtherCountries"
4,"CWomensMvt",0.00879703579255642,0.00945244881715917,9075,6,"OtherCountries"
4,"CEU",0.0168284628210473,0.0219226158634252,1159,6,"OtherCountries"
5,"CChurches",0.00659905344255718,0.00704852223671635,13262,6,"OtherCountries"
5,"CArmedForces",0.0213427481532501,0.0217751127443023,13582,6,"OtherCountries"
5,"CPolice",0.0442498767688519,0.0446834546260565,13227,6,"OtherCountries"
5,"CParliament",0.0581195795410359,0.0585545612623069,12993,6,"OtherCountries"
5,"CTelevision",0.0188578143672486,0.0192626316629299,14543,6,"OtherCountries"
5,"CWomensMvt",0.0187274632662429,0.0191757376092002,13135,6,"OtherCountries"
5,"CCourts",0.0453363116241571,0.0457835307161507,12809,6,"OtherCountries"
5,"CEU",0.00940807343237482,0.0106119526220459,4938,6,"OtherCountries"
6,"CChurches",0.0139636495351554,0.0143418518047192,15644,6,"OtherCountries"
6,"CArmedForces",0.0153400116824608,0.0157268101589507,15275,6,"OtherCountries"
6,"CPolice",0.0409299721800988,0.0412940838079727,15805,6,"OtherCountries"
6,"CParliament",0.0452154939272764,0.0455836391002369,15562,6,"OtherCountries"
6,"CTelevision",0.0150381121476746,0.0154117462961931,15818,6,"OtherCountries"
6,"CWomensMvt",0.0156772395677742,0.0160732125186689,14916,6,"OtherCountries"
6,"CCourts",0.0349509816886909,0.0353206850541531,15663,6,"OtherCountries"
6,"CEU",0.00985389273887249,0.0118691154809237,2949,6,"OtherCountries"
7,"CChurches",0.0170889308763627,0.0174141109830422,18137,6,"OtherCountries"
7,"CArmedForces",0.0200348006354744,0.0203638320398495,17871,6,"OtherCountries"
7,"CPolice",0.0436881244432034,0.0440071964141392,17984,6,"OtherCountries"
7,"CParliament",0.0599015710571185,0.0602153904948429,17975,6,"OtherCountries"
7,"CTelevision",0.0149378989281349,0.015262199208323,18226,6,"OtherCountries"
7,"CWomensMvt",0.0262239417620826,0.0265662782212979,17068,6,"OtherCountries"
7,"CCourts",0.0442235390737241,0.0445451147348894,17834,6,"OtherCountries"
7,"CEU",0.0629532840368134,0.0644121009272594,3855,6,"OtherCountries"
